Total Fwd Packet,Total Bwd packets,Flow Bytes/s,Bwd Packets/s,FWD Init Win Bytes,Bwd Init Win Bytes,Flow Duration,Flow IAT Min,Fwd IAT Min,Fwd IAT Total,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Packet Length Max,Fwd Seg Size Min,PSH Flag Count,Down/Up Ratio,Fwd Header Length,Label
2,0,4000000.0,0.0,33,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
1,1,110091.7431,9174.311927,29,256,109.0,109,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,230769.2308,19230.76923,29,256,52.0,52,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,352941.1765,29411.76471,31,329,34.0,34,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
2,0,4000000.0,0.0,32,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,11741.68297,0.0,32,-1,1022.0,1022,1022,1022,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,3000000.0,0.0,32,-1,4.0,4,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
1,1,285714.2857,23809.52381,32,256,42.0,42,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
2,0,3000000.0,0.0,32,-1,4.0,4,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,9250000.0,0.0,946,-1,4.0,4,4,4,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
2,0,12300000.0,0.0,980,-1,3.0,3,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
2,0,37000000.0,0.0,980,-1,1.0,1,1,1,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
2,0,9250000.0,0.0,980,-1,4.0,4,4,4,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
3,0,14300000.0,0.0,946,-1,3.0,1,1,3,0,0.0,0,43.0,0.0,6,14.43375673,0,0.0,31,20,0,0,60.0,BENIGN
1,1,0.0,18518.51852,939,1269,54.0,54,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
2,0,0.0,0.0,130,-1,1.0,1,1,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0,BENIGN
1,1,0.0,6493.506494,130,65535,154.0,154,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
2,0,0.0,0.0,130,-1,1.0,1,1,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0,BENIGN
1,1,0.0,8474.576271,130,65535,118.0,118,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
1,1,0.0,4184.100418,130,65535,239.0,239,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
3,0,0.0,0.0,130,-1,1.0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,96.0,BENIGN
2,0,0.0,0.0,130,-1,1.0,1,1,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0,BENIGN
2,0,62000000.0,0.0,237,-1,4.0,4,4,4,0,0.0,0,248.0,0.0,31,131.5218613,0,0.0,217,20,0,0,40.0,BENIGN
3,0,50800000.0,0.0,123,-1,5.0,1,1,5,0,0.0,0,254.0,0.0,6,115.283708,0,0.0,217,20,0,0,60.0,BENIGN
2,0,3000000.0,0.0,35095,-1,4.0,4,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
3,0,10800000.0,0.0,65,-1,4.0,1,1,4,0,0.0,0,43.0,0.0,6,14.43375673,0,0.0,31,20,0,0,60.0,BENIGN
1,1,0.0,18518.51852,59,439,54.0,54,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
3,0,1023809.524,0.0,64,-1,42.0,3,3,42,0,0.0,0,43.0,0.0,6,14.43375673,0,0.0,31,20,0,0,60.0,BENIGN
2,0,9250000.0,0.0,60,-1,4.0,4,4,4,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
2,0,12300000.0,0.0,60,-1,3.0,3,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
2,0,12300000.0,0.0,62,-1,3.0,3,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
2,1,58344.64043,1356.852103,62,0,737.0,149,737,737,0,0.0,0,37.0,6.0,6,17.67766953,6,0.0,31,20,0,0,40.0,BENIGN
2,0,12300000.0,0.0,62,-1,3.0,3,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
2,0,12300000.0,0.0,60,-1,3.0,3,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
2,0,12300000.0,0.0,62,-1,3.0,3,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0,BENIGN
3,0,155797.1014,0.0,62,-1,276.0,2,2,276,0,0.0,0,43.0,0.0,6,14.43375673,0,0.0,31,20,0,0,60.0,BENIGN
2,0,4000000.0,0.0,40905,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,4000000.0,0.0,40905,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,12000000.0,0.0,5114,-1,1.0,1,1,1,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
1,1,114285.7143,9523.809524,1024,274,105.0,105,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,181818.1818,15151.51515,1024,274,66.0,66,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,176470.5882,14705.88235,1024,320,68.0,68,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
2,0,250000.0,0.0,23,-1,48.0,48,48,48,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,4000000.0,0.0,360,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,4000000.0,0.0,385,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
1,1,750000.0,62500.0,351,258,16.0,16,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,190476.1905,15873.01587,360,255,63.0,63,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,705882.3529,58823.52941,360,255,17.0,17,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,97560.97561,8130.081301,360,255,123.0,123,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
2,0,3000000.0,0.0,360,-1,4.0,4,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,3000000.0,0.0,360,-1,4.0,4,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,244897.9592,0.0,351,-1,49.0,49,49,49,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,4000000.0,0.0,377,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
1,1,0.0,21739.13043,340,229,46.0,46,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
