Total Bwd packets,Flow Bytes/s,FWD Init Win Bytes,Bwd Init Win Bytes,Flow Duration,Flow IAT Min,Fwd IAT Min,Fwd IAT Total,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Packet Length Max,Fwd Seg Size Min,PSH Flag Count,Down/Up Ratio,Fwd Header Length,Label
30,2400288.16,0,61,23598.0,1,1,23598,1,3455.2422,23529,156.0,56486.0,6,0.0,0,774.3889575,2896,20,0,1,520.0,BENIGN
0,0.0,259,-1,404.0,404,404,404,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0,SSH-Patator
1,0.0,29200,28960,5216127.0,124,1245,5216127,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,1,0,104.0,FTP-Patator
9,9.600907867,29200,110,60202640.0,47,234,51200000,637,4645137.318,60200000,322.0,256.0,0,107.3333333,0,85.33333333,322,32,1,1,296.0,Bot
6,1029.602573,8192,254,5169956.0,112,219,218783,840,2218975.06,5169833,1101.0,4222.0,0,185.7586279,0,1395.868284,3525,20,1,0,172.0,DoS slowloris
0,0.0,251,-1,497.0,1,1,497,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,128.0,DoS Hulk
5,771.8358573,29200,235,5008837.0,47,1637,6531,49,2500882.604,5008656,341.0,3525.0,0,170.5,0,990.6447396,2077,32,1,1,136.0,DoS GoldenEye
6,10.12561624,8192,229,42664070.0,29,609,255908,595,18900000.0,42700000,141.0,291.0,0,38.8612918,0,107.0696035,267,20,1,1,112.0,Infiltration
4,195.1608499,29200,235,5006127.0,4,4,5712,1407,2885896.206,5005996,447.0,530.0,0,223.5,0,265.0,530,32,1,1,136.0,Web Attack   Sql Injection
1,0.0,29200,28960,5638432.0,72,690,5638432,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,1,0,104.0,Web Attack   XSS
