Total Fwd Packet,Total Bwd packets,Flow Bytes/s,Bwd Packets/s,FWD Init Win Bytes,Bwd Init Win Bytes,Flow Duration,Flow IAT Min,Fwd IAT Min,Fwd IAT Total,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Packet Length Max,Fwd Seg Size Min,PSH Flag Count,Down/Up Ratio,Fwd Header Length,Label
7,7,791.6094872616612,4.79348305435262,16383,16383,1460316.0,1.0,1.0,1459395.0,4.0,318398.02930650604,1392710.0,352.0,804.0,0.0,85.87920641947092,0.0,196.1559146626552,402.0,20,2,1.0,172,Analysis
26,30,2400288.16,1271.294177,0,61,23598.0,1,1,23598,1,3455.2422,23529,156.0,56486.0,6,0.0,0,774.3889575,2896,20,0,1,520.0,BENIGN
6,5,68.26706385685638,1.939405223206147,16383,16383,2578110.0,1.0,1.0,555245.0,7.0,823317.8505917384,2486758.0,176.0,0.0,0.0,45.44300459550036,0.0,0.0,88.0,20,0,0.0,152,Backdoor
9,9,9.600907867,0.149495105,29200,110,60202640.0,47,234,51200000,637,4645137.318,60200000,322.0,256.0,0,107.3333333,0,85.33333333,322,32,1,1,296.0,Bot
8,4,145.6499433,0.049978534,256,229,80034360.0,6,247,78700000,190,777575.2592,1354806,56.0,11601.0,0,5.656854249,0,4128.319301,8760,20,0,0,172.0,DDoS
7,5,135.8827332012473,4.995688720634092,16383,16383,1000863.0,1.0,3.0,1000669.0,1.0,397598.2535234739,867527.0,136.0,0.0,0.0,33.18060248025013,0.0,0.0,68.0,20,0,0.0,172,DoS
4,5,771.8358573,0.998235718,29200,235,5008837.0,47,1637,6531,49,2500882.604,5008656,341.0,3525.0,0,170.5,0,990.6447396,2077,32,1,1,136.0,DoS GoldenEye
4,0,0.0,0.0,251,-1,497.0,1,1,497,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,128.0,DoS Hulk
5,3,144593.3313,186.9741352,29200,235,16045.0,73,1459,16045,4225,946.1088732,9788,356.0,1964.0,0,159.20804,0,1133.915929,1964,32,1,0,168.0,DoS Slowhttptest
8,6,1029.602573,1.160551463,8192,254,5169956.0,112,219,218783,840,2218975.06,5169833,1101.0,4222.0,0,185.7586279,0,1395.868284,3525,20,1,0,172.0,DoS slowloris
37,19,13450.858199379263,8.306777149717417,16383,16383,2287289.0,1.0,2.0,2285967.0,1.0,146066.89409106967,2235264.0,29930.0,836.0,0.0,717.9129233169335,0.0,34.95393794378221,1460.0,20,12,0.0,772,Exploits
3,1,0.0,0.191713124,29200,28960,5216127.0,124,1245,5216127,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,1,0,104.0,FTP-Patator
9,5,1.7198076181365194,0.0581016087208283,16383,16383,86056137.0,2.0,4.0,85811123.0,2.0,3299824.928455173,40552509.25400019,148.0,0.0,0.0,32.63093283646329,0.0,0.0,74.0,20,0,0.0,212,Fuzzers
6,3,2447.710778494413,18.357830838708097,16383,16383,163418.0,11.0,11.0,112374.0,13.0,111359.41854194464,157512.0,400.0,0.0,0.0,103.27955589886446,0.0,0.0,200.0,20,0,0.0,152,Generic
272,402,63411.92802,14.49254371,29200,235,119302728.0,0,0,119000000,1,273867.424,119000000,8299.0,682306.5200000238,0,16.85842056,0,2566.935004,11595,32,1,0,6965.88000000082,Heartbleed
5,6,10.12561624,0.140633559,8192,229,42664070.0,29,609,255908,595,18900000.0,42700000,141.0,291.0,0,38.8612918,0,107.0696035,267,20,1,1,112.0,Infiltration
6,5,421.6242032,0.995805865,29200,243,5021059.0,19,19,55401,1053,2499939.593,5020928,703.0,1414.0,0,181.5361305,0,456.923626,1050,32,1,0,200.0,PortScan
9,3,316.39285221424507,1.2622055274504458,16383,16383,2376792.0,11.0,11.0,2323484.0,19.0,1667118.0808390568,2357699.0,752.0,0.0,0.0,99.0847000186092,0.0,0.0,188.0,20,0,0.0,212,Reconnaissance
2,0,0.0,0.0,259,-1,404.0,404,404,404,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0,SSH-Patator
6,3,1419.5255742741408,15.20920258150865,16383,16383,197249.0,4.0,4.0,132788.0,11.0,129573.07501174771,183266.0,280.0,0.0,0.0,72.29568912920512,0.0,0.0,140.0,20,0,0.0,152,Shellcode
7,7,644.7297824,1.350017492,29200,252,5185118.0,4,4,221162,879,2027593.314,5185004,1022.0,2321.0,0,184.0787875,0,439.6592837,1047,32,1,1,232.0,Web Attack � Brute Force
4,4,195.1608499,0.79902088,29200,235,5006127.0,4,4,5712,1407,2885896.206,5005996,447.0,530.0,0,223.5,0,265.0,530,32,1,1,136.0,Web Attack � Sql Injection
3,1,0.0,0.177354272,29200,28960,5638432.0,72,690,5638432,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,1,0,104.0,Web Attack � XSS
6,3,1824.837386954808,6.532830740888334,16383,16383,459219.0,4.0,4.0,273986.0,9.0,254481.3665880077,359909.0,838.0,0.0,0.0,216.370669608121,0.0,0.0,419.0,20,0,0.0,152,Worms
