Total Fwd Packet,Total Bwd packets,Flow Bytes/s,Bwd Packets/s,FWD Init Win Bytes,Bwd Init Win Bytes,Flow Duration,Flow IAT Min,Fwd IAT Min,Fwd IAT Total,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Packet Length Max,Fwd Seg Size Min,PSH Flag Count,Down/Up Ratio,Fwd Header Length
2,0,3733725.6353,0.0,33,-1,3.0,3.1384,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,1,111185.6528,9174.311927,29,256,109.0,111.6008,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,1,236718.3346,19230.76923,29,256,52.0,59.0921,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,1,363311.3961,29411.76471,31,329,34.0,36.5701,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,0,3952612.913,0.0,32,-1,3.0,3.3728,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,0,13264.9485,0.0,32,-1,1022.0,965.6638,1022,1022,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,0,3291912.9587,0.0,32,-1,4.0,4.7199,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,1,290544.7485,23809.52381,32,256,42.0,41.1521,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
2,0,2802580.2605,0.0,32,-1,4.0,4.495,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,0,8787367.2477,0.0,946,-1,4.0,4.2848,4,4,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
1,0,12134585.5894,0.0,980,-1,3.0,3.1187,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
3,0,36822375.6715,0.0,980,-1,1.0,1.0135,1,1,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
3,0,8867919.6542,0.0,980,-1,4.0,4.862,4,4,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
2,0,13911230.5819,0.0,946,-1,3.0,1.1842,1,3,0,0.0,0,43.0,0.0,6,14.43375673,0,0.0,31,20,0,0,60.0
1,1,0.0,18518.51852,939,1269,54.0,55.349,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
1,0,0.0,0.0,130,-1,1.0,1.0246,1,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0
1,1,0.0,6493.506494,130,65535,154.0,142.6655,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
2,0,0.0,0.0,130,-1,1.0,0.9036,1,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0
1,1,0.0,8474.576271,130,65535,118.0,114.0989,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
1,1,0.0,4184.100418,130,65535,239.0,238.8795,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
3,0,0.0,0.0,130,-1,1.0,0.0,0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,96.0
1,0,0.0,0.0,130,-1,1.0,1.2041,1,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0
2,0,60417836.491,0.0,237,-1,4.0,3.1718,4,4,0,0.0,0,248.0,0.0,31,131.5218613,0,0.0,217,20,0,0,40.0
3,0,48005558.0101,0.0,123,-1,5.0,0.8799,1,5,0,0.0,0,254.0,0.0,6,115.283708,0,0.0,217,20,0,0,60.0
